"sample"	"Number_all_years"	"Number_year"	"Where"	"Label"	"Date"	"A254"	"A300"	"A350"	"A365"	"A400"	"A465"	"A600"	"A665"	"Comp.1"	"Comp.2"	"Comp.3"	"X."	"Em"	"Comp.1.1"	"Comp.2.1"	"Comp.3.1"	"X..1"	"Ex"	"Comp.1.2"	"Comp.2.2"	"Comp.3.2"	"X..2"	"C1_rel"	"C2_rel"	"C3_rel"
"47"	"v20212836"	20212836	2836	"Otava"	"O2_Blanice"	"13-okt-21"	0.2760528	0.1393728	0.0594528	0.0437328	0.0220128	0.0084528	0.0006528	0.0002928	1.03866122185653	1.40041033063578	0.880754541543682	NA	347	0	0.214664759802978	0.896361002069618	NA	485	0.0133391927435208	0	0	NA	0.312866153959831	0.421832436690462	0.265301409349707
"48"	"v20212852"	20212852	2852	"Otava"	"O3_Voly?ka"	"16-okt-21"	0.1234368	0.0693168	0.0304368	0.0214368	0.0115968	0.0042768	0	0	0.540761612918738	0.678340562318755	0.311522682612036	NA	348	0	0.231593792867187	0.870802468456249	NA	490	0.0112580434406385	4.0981368351163e-20	0	NA	0.353294675795667	0.443178848716594	0.203526475487739
"49"	"v20212853"	20212853	2853	"Otava"	"O4_Peklov"	"16-okt-21"	0.1671384	0.0929784	0.0401784	0.0276984	0.0154584	0.0051384	0.0006984	0.0009384	0.824648157764735	1.08492937641202	0.405836432690998	NA	349	0	0.234511334296761	0.862740523428134	NA	495	0.00945619616935352	3.32156515458353e-20	0	NA	0.356155819030626	0.468568209372811	0.175275971596563
"50"	"v20212854"	20212854	2854	"Otava"	"O5_?ern¡?sk?_potok"	"16-okt-21"	0.2551824	0.1283424	0.0522624	0.0370224	0.0189024	0.0057024	0	0.0013824	1.15066709203779	1.71559786876874	0.808889537010273	NA	350	0	0.246657337590067	0.856189074482244	NA	500	0.00801624463650233	2.70380261051215e-20	0	NA	0.313093529189408	0.466809727261229	0.220096743549363
"51"	"v20212855"	20212855	2855	"Otava"	"O6_Nezdick?_potok"	"16-okt-21"	0.1229088	0.0722688	0.0318288	0.0207888	0.0122688	0.0038688	0	0.0002688	0.575501304763988	0.67490408827227	0.296138385301068	NA	351	0	0.26410649105692	0.853441625811945	NA	505	0.00681887400305713	2.16759334392556e-20	0	NA	0.372120927208866	0.436395075086625	0.19148399770451
"52"	"v20212856"	20212856	2856	"Otava"	"O7_Ostru?n "	"16-okt-21"	0.1046112	0.0611712	0.0274512	0.0190512	0.0112512	0.0035712	0.0004512	0.0011712	0.462596783481338	0.53922697765396	0.246671247946704	NA	352	0	0.275043140207437	0.852271903826717	NA	510	0.00560494903736099	1.67882901160282e-20	0	NA	0.370523534428446	0.431901588497694	0.19757487707386
"53"	"v20212857"	20212857	2857	"Otava"	"O8_Vol?ovka"	"16-okt-21"	0.0615288	0.0384888	0.0159288	0.0107688	0.0056088	0.0018888	8.88e-05	0.0015288	0.2537711028721	0.277852957764703	0.18736119359714	NA	353	0	0.285042876013801	0.850778261773384	NA	515	0.0046565253539089	1.29828941351172e-20	0	NA	0.352957312236515	0.386451538649074	0.260591149114411
"54"	"v20212858"	20212858	2858	"Otava"	"O9_Otava_nad_Vol?ovkou"	"16-okt-21"	0.3110064	0.1900464	0.0927264	0.0724464	0.0382464	0.0132864	0	0	0.722959571142136	0.45623195784682	0.177498537281676	NA	354	0	0.300305837162981	0.818221417613777	NA	520	0.00384911282366356	1.0164721984426e-20	3.09939996610958e-20	NA	0.532884841656916	0.33628311225197	0.130832046091114
"55"	"v20212859"	20212859	2859	"Otava"	"O10_Losenice"	"16-okt-21"	0.0983592	0.0582792	0.0274392	0.0173592	0.0087192	0.0019992	0	0	0.314884708010772	0.266621722900185	0.131998489431503	NA	355	0	0.321628401719729	0.809081312579511	NA	525	0.00306282717779305	7.89322049837488e-21	0	NA	0.441321004289133	0.373678884754172	0.185000110956695
"56"	"v20212860"	20212860	2860	"Otava"	"O11_Hamersk?_potok"	"16-okt-21"	0.2531832	0.1592232	0.0799032	0.0589032	0.0327432	0.0119832	0	0	0.591626123037607	0.361518791799318	0.133757086122647	NA	356	0	0.348140918654198	0.794582510053311	NA	530	0.00240011870916196	6.12250760379981e-21	0	NA	0.544323335972599	0.332613972078578	0.123062691948823
"57"	"v20212861"	20212861	2861	"Otava"	"O12_Vydra"	"16-okt-21"	0.4597488	0.2821488	0.1400688	0.1071888	0.0577488	0.0200688	0.0020688	0.0009888	0.984065410568966	0.544545272293738	0.168612561425292	NA	357	0	0.350436864685031	0.800185121161094	NA	535	0.00187936976956448	4.85653846960503e-21	0	NA	0.579809058048691	0.320844811739649	0.0993461302116604
"58"	"v20212862"	20212862	2862	"Otava"	"O13_Voly?ka"	"16-okt-21"	0.095844	0.053724	0.024564	0.017004	0.009084	0.002484	0	0	0.403928629259647	0.373188569418787	0.148535370992626	NA	358	0	0.368292095857289	0.782834976298709	NA	540	0.00146521509842666	3.87512364392734e-21	0	NA	0.436371747342728	0.4031626785754	0.160465574081871
"59"	"v20212863"	20212863	2863	"Otava"	"O14_Blanice"	"16-okt-21"	0.2342736	0.1361136	0.0630336	0.0461136	0.0234336	0.0062736	0	0	0.862161841633358	0.838160753633796	0.29750287964103	NA	359	0	0.373780092253436	0.780457777381848	NA	545	0.00115981433802251	3.15564208556147e-21	0	NA	0.431550129108741	0.419536523165176	0.148913347726083
"60"	"v20212864"	20212864	2864	"Karhov"	"KAR1_odtok"	"15-okt-21"	0.5147424	0.2787024	0.1246224	0.0931824	0.0486624	0.0169824	0.0009024	0	1.60726069773629	1.87588344953086	0.591232745644996	NA	360	0	0.401039386208927	0.758318690065215	NA	550	0.000944524047342864	2.59385814888774e-21	0	NA	0.394480122968572	0.460409897963583	0.145109979067846
"61"	"v20212865"	20212865	2865	"Karhov"	"KAR4_bo?n¡_p?¡tok"	"15-okt-21"	0.62586	0.36126	0.16782	0.12654	0.06486	0.02118	0.00162	3e-04	2.64282974657376	2.30593922938131	0.483518098151627	NA	361	0	0.406336635198628	0.770048431788947	NA	NA	NA	NA	NA	NA	0.486504065510631	0.424487733789457	0.0890082006999121
"62"	"v20212866"	20212866	2866	"Karhov"	"KAR29_Studensk?_potok"	"15-okt-21"	0.560124	0.310884	0.143604	0.109044	0.054924	0.018684	0.001044	8.4e-05	1.9473021277575	1.99549337816851	0.474829860232293	NA	362	0	0.432536261638349	0.771598340814785	NA	NA	NA	NA	NA	NA	0.440802912504763	0.451711771092045	0.107485316403192
"63"	"v20212867"	20212867	2867	"Karhov"	"?V_Studen _surov "	"15-okt-21"	0.5354472	0.2907672	0.1336872	0.1015272	0.0524472	0.0193272	0.0014472	0	1.62995435764045	1.87583455251899	0.619392920215694	NA	363	0	0.447928074425898	0.730196758985182	NA	NA	NA	NA	NA	NA	0.395123033277839	0.454727725868124	0.150149240854037
"64"	"v20213111"	20213111	3111	"Karhov"	"?V_Studen _surov "	"05-nov-21"	0.5051376	0.2746176	0.1225776	0.0979776	0.0503376	0.0210576	0.0043776	0.0019776	1.92458561410805	2.20013112964478	0.767338779616055	NA	364	0	0.460078128599877	0.745400699193428	NA	NA	NA	NA	NA	NA	0.393410419181566	0.449735518972539	0.156854061845895
"65"	"v20213141"	20213141	3141	"Karhov"	"?V_Studen _surov "	"08-nov-21"	0.4996008	0.2682408	0.1243608	0.0967608	0.0520008	0.0198408	0.0043608	0.0007608	1.58210142273829	1.85240134664077	0.597877110074505	NA	365	0	0.477443738584835	0.741011544382124	NA	NA	NA	NA	NA	NA	0.392349299925751	0.459381655999085	0.148269044075164
"66"	"v20213222"	20213222	3222	"Karhov"	"?V_Studen _surov "	"15-nov-21"	0.484464	0.262944	0.122664	0.095064	0.048864	0.016824	0.003504	0	1.87506655319337	2.16226157589026	0.773003184375033	NA	366	0	0.506631016366006	0.70394308129785	NA	NA	NA	NA	NA	NA	0.389799876766738	0.449503669287922	0.160696453945339
"67"	"v20213233"	20213233	3233	"Karhov"	"?V_Studen _surov "	"16-nov-21"	0.4944552	0.2695752	0.1265352	0.0980952	0.0538152	0.0204552	0.0071352	0.0043752	1.80407004158829	2.08852002759695	0.835342166872334	NA	367	0	0.524161028887812	0.716963112282724	NA	NA	NA	NA	NA	NA	0.381576966740249	0.44174068563607	0.176682347623681
"68"	"v20213275"	20213275	3275	"Karhov"	"?V_Studen _surov "	"19-nov-21"	0.4904256	0.2680656	0.1249056	0.0957456	0.0533856	0.0203856	0.0074256	0.0040656	1.86104831429819	2.14262350719748	0.695351826980513	NA	368	0	0.531195820041325	0.724350492367379	NA	NA	NA	NA	NA	NA	0.396049999642308	0.455972063024688	0.147977937333004
"69"	"v20213370"	20213370	3370	"Karhov"	"?V_Studen _surov "	"07-des-21"	0.4821048	0.2610648	0.1230648	0.0961848	0.0479448	0.0178248	0.0025848	0.0010248	1.79739973997729	2.04559148196045	0.771659478371879	NA	303	0.00588890056231627	0	0.907009087226875	NA	265	1	0.766636691547761	0.738561380914087	NA	0.389498546413642	0.443281976211808	0.167219477374551
